"","x"
"914","Fam71f2"
"915","Fam83c"
"916","Fam83g"
"917","Fam98b"
"918","Fap"
"919","Fas"
"920","Fat2"
"921","Fbh1"
"922","Fbn1"
"923","Fbrsl1"
"924","Fbxl5"
"925","Fbxo22"
"926","Fbxo38"
"927","Fbxo39"
"928","Fbxo4"
"929","Fbxo6"
"930","Fbxw11"
"931","Fbxw17"
"932","Fcer1g"
"933","Fcf1"
"934","Fcgr1"
"935","Fcgr2b"
"936","Fcgr4"
"937","Fcrlb"
"938","Fez2"
"939","Fgd6"
"940","Fgl2"
"941","Fgr"
"942","Fhad1"
"943","Fhl3"
"944","Ficd"
"945","Filip1"
"946","Filip1l"
"947","Fjx1"
"948","Fkbpl"
"949","Flad1"
"950","Flii"
"951","Flna"
"952","Flnb"
"953","Flot1"
"954","Flrt2"
"955","Flrt3"
"956","Flt1"
"957","Flt4"
"958","Fmn1"
"959","Fmnl2"
"960","Fmr1"
"961","Fnbp1l"
"962","Fndc3a"
"963","Fndc3b"
"964","Fndc7"
"965","Fos"
"966","Fosl1"
"967","Fosl2"
"968","Foxf1"
"969","Foxp1"
"970","Foxp4"
"971","Foxs1"
"972","Fpgt"
"973","Fpr1"
"974","Fpr2"
"975","Fpr3"
"976","Frg1"
"977","Frmd4a"
"978","Frmd5"
"979","Fscn1"
"980","Fst"
"981","Fstl1"
"982","Fth1"
"983","Fubp1"
"984","Furin"
"985","Fxr1"
"986","Fyb"
"987","Fyco1"
"988","Fyttd1"
"989","Fzd1"
"990","Fzd5"
"991","G3bp2"
"992","Gab1"
"993","Gabrr3"
"994","Gad1os"
"995","Gad2"
"996","Gadd45a"
"997","Gadd45b"
"998","Gadd45g"
"999","Galnt7"
"1000","Garem2"
"1001","Gas8"
"1002","Gata2"
"1003","Gatad2a"
"1004","Gatm"
"1005","Gbgt1"
"1006","Gbp10"
"1007","Gbp11"
"1008","Gbp2"
"1009","Gbp2b"
"1010","Gbp3"
"1011","Gbp4"
"1012","Gbp5"
"1013","Gbp6"
"1014","Gbp7"
"1015","Gbp8"
"1016","Gbp9"
"1017","Gca"
"1018","Gcc1"
"1019","Gch1"
"1020","Gclm"
"1021","Gcnt2"
"1022","Gda"
"1023","Gde1"
"1024","Gem"
"1025","Gfi1"
"1026","Gfm2"
"1027","Gfpt1"
"1028","Gfpt2"
"1029","Gfra1"
"1030","Ggct"
"1031","Ggnbp2"
"1032","Ggps1"
"1033","Ggta1"
"1034","Ghitm"
"1035","Ghr"
"1036","Ginm1"
"1037","Gipc3"
"1038","Gja1"
"1039","Gk"
"1040","Glipr1"
"1041","Glipr2"
"1042","Glis3"
"1043","Glrx"
"1044","Gm10015"
"1045","Gm10053"
"1046","Gm10108"
"1047","Gm10125"
"1048","Gm10134"
"1049","Gm10145"
"1050","Gm10157"
"1051","Gm10167"
"1052","Gm10177"
"1053","Gm10232"
"1054","Gm10254"
"1055","Gm10356"
"1056","Gm10366"
"1057","Gm10382"
"1058","Gm10388"
"1059","Gm10425"
"1060","Gm10521"
"1061","Gm10522"
"1062","Gm10552"
"1063","Gm10553"
"1064","Gm10557"
"1065","Gm10634"
"1066","Gm10655"
"1067","Gm10693"
"1068","Gm10698"
"1069","Gm1070"
"1070","Gm10705"
"1071","Gm10734"
"1072","Gm10791"
"1073","Gm10851"
"1074","Gm11127"
"1075","Gm11131"
"1076","Gm11166"
"1077","Gm11185"
"1078","Gm11189"
"1079","Gm11196"
"1080","Gm11216"
"1081","Gm11224"
"1082","Gm11425"
"1083","Gm11427"
"1084","Gm11449"
"1085","Gm11496"
"1086","Gm11517"
"1087","Gm11541"
"1088","Gm11626"
"1089","Gm11706"
"1090","Gm11772"
"1091","Gm11787"
"1092","Gm11842"
"1093","Gm11843"
"1094","Gm11868"
"1095","Gm11874"
"1096","Gm11889"
"1097","Gm11954"
"1098","Gm11998"
"1099","Gm11999"
"1100","Gm12026"
"1101","Gm12039"
"1102","Gm12058"
"1103","Gm12097"
"1104","Gm12112"
"1105","Gm12183"
"1106","Gm12185"
"1107","Gm12187"
"1108","Gm12188"
"1109","Gm12216"
"1110","Gm12250"
"1111","Gm12254"
"1112","Gm12291"
"1113","Gm12328"
"1114","Gm12403"
"1115","Gm12430"
"1116","Gm12551"
"1117","Gm12589"
"1118","Gm12692"
"1119","Gm12715"
"1120","Gm12735"
"1121","Gm12764"
"1122","Gm12791"
"1123","Gm12818"
"1124","Gm12834"
"1125","Gm12840"
"1126","Gm12844"
"1127","Gm12854"
"1128","Gm12868"
"1129","Gm12915"
"1130","Gm12928"
"1131","Gm12989"
"1132","Gm13012"
"1133","Gm13339"
"1134","Gm13363"
"1135","Gm13400"
"1136","Gm13498"
"1137","Gm13535"
"1138","Gm13657"
"1139","Gm13767"
"1140","Gm13768"
"1141","Gm13772"
"1142","Gm13783"
"1143","Gm13810"
"1144","Gm13822"
"1145","Gm13835"
"1146","Gm13889"
"1147","Gm14010"
"1148","Gm14023"
"1149","Gm14026"
"1150","Gm14199"
"1151","Gm14253"
"1152","Gm14269"
"1153","Gm14270"
"1154","Gm14287"
"1155","Gm14379"
"1156","Gm14519"
"1157","Gm14536"
"1158","Gm14537"
"1159","Gm14548"
"1160","Gm14569"
"1161","Gm14584"
"1162","Gm14608"
"1163","Gm14636"
"1164","Gm14845"
"1165","Gm14866"
"1166","Gm14963"
"1167","Gm15027"
"1168","Gm15056"
"1169","Gm15133"
"1170","Gm15229"
"1171","Gm15247"
"1172","Gm15267"
"1173","Gm15283"
"1174","Gm15337"
"1175","Gm15356"
"1176","Gm15361"
"1177","Gm15478"
"1178","Il2rg"
"1179","Il31ra"
"1180","Il33"
"1181","Il4i1"
"1182","Il4ra"
"1183","Il6"
"1184","Il7"
"1185","Ildr1"
"1186","Ilrun"
"1187","Inava"
"1188","Inhba"
"1189","Inhbb"
"1190","Inpp5b"
"1191","Insig2"
"1192","Insl6"
"1193","Insm1"
"1194","Insrr"
"1195","Insyn2a"
"1196","Insyn2b"
"1197","Ints12"
"1198","Ints8"
"1199","Intu"
"1200","Iqgap1"
"1201","Iqschfp"
"1202","Iqsec2"
"1203","Irak2"
"1204","Irak3"
"1205","Irf1"
"1206","Irf2"
"1207","Irf2bpl"
"1208","Irf5"
"1209","Irf7"
"1210","Irf8"
"1211","Irgm1"
"1212","Irgm2"
"1213","Isca2"
"1214","Iscu"
"1215","Isg15"
"1216","Isg20"
"1217","Ism1"
"1218","Isoc1"
"1219","Ist1"
"1220","Itga5"
"1221","Itga7"
"1222","Itga9"
"1223","Itgal"
"1224","Itgam"
"1225","Itgav"
"1226","Itgax"
"1227","Itgb1"
"1228","Itgb2"
"1229","Itgb7"
"1230","Itgb8"
"1231","Itpkb"
"1232","Itpr1"
"1233","Itpripl2"
"1234","Jag1"
"1235","Jak1"
"1236","Jak2"
"1237","Jak3"
"1238","Jam2"
"1239","Jaml"
"1240","Jarid2"
"1241","Jdp2"
"1242","Jmjd6"
"1243","Jrk"
"1244","Junb"
"1245","Kalrn"
"1246","Kansl1l"
"1247","Kars"
"1248","Kat2b"
"1249","Kat6a"
"1250","Katna1"
"1251","Kbtbd7"
"1252","Kcna3"
"1253","Kcnab1"
"1254","Kcnh4"
"1255","Kcnh7"
"1256","Kcnip1"
"1257","Kcnn4"
"1258","Kctd1"
"1259","Kctd12"
"1260","Kctd19"
"1261","Kctd21"
"1262","Kctd5"
"1263","Kdelr3"
"1264","Kdm4a"
"1265","Kdm5a"
"1266","Kdm5b"
"1267","Kdm5c"
"1268","Kdm6b"
"1269","Kdm6bos"
"1270","Kdm7a"
"1271","Kdr"
"1272","Keap1"
"1273","Khdc4"
"1274","Kif1a"
"1275","Kif1b"
"1276","Kif3b"
"1277","Kif3c"
"1278","Kif5b"
"1279","Kif9"
"1280","Kin"
"1281","Klc2"
"1282","Klf3"
"1283","Klf4"
"1284","Klf6"
"1285","Klf7"
"1286","Klhl12"
"1287","Klhl18"
"1288","Klhl28"
"1289","Klhl32"
"1290","Klra2"
"1291","Klrg2"
"1292","Klrk1"
"1293","Kmt5a"
"1294","Kpna3"
"1295","Kpna4"
"1296","Krcc1"
"1297","Kremen1"
"1298","Krit1"
"1299","Ktn1"
"1300","Lacc1"
"1301","Lad1"
"1302","Lag3"
"1303","Lama5"
"1304","Lamc1"
"1305","Lamc2"
"1306","Lamp2"
"1307","Lancl3"
"1308","Lap3"
"1309","Larp1"
"1310","Lars2"
"1311","Lats1"
"1312","Lck"
"1313","Lcn2"
"1314","Lcor"
"1315","Lcp1"
"1316","Lcp2"
"1317","Ldha"
"1318","Ldha-ps2"
"1319","Lekr1"
"1320","Leng1"
"1321","Leng9"
"1322","Leo1"
"1323","Lgals3bp"
"1324","Lgals8"
"1325","Lgals9"
"1326","Lhx2"
"1327","Lif"
"1328","Lilr4b"
"1329","Lilra6"
"1330","Lilrb4a"
"1331","Lims1"
"1332","Lims2"
"1333","Lipc"
"1334","Lipe"
"1335","Lipg"
"1336","Liph"
"1337","Lipn"
"1338","Llph"
"1339","Llph-ps1"
"1340","Llph-ps2"
"1341","Lman1"
"1342","Lmo4"
"1343","Lnpep"
"1344","Lnpk"
"1345","Lox"
"1346","Loxl2"
"1347","Loxl4"
