"","x"
"958","Sirpb1b"
"959","Ccnj"
"960","Uba7"
"961","Adgrg6"
"962","Maff"
"963","Slc16a3"
"964","Zfp281"
"965","Sele"
"966","Cxcr5"
"967","Dnajc4"
"968","Rgcc"
"969","Tlk2"
"970","Mast4"
"971","Pcdh7"
"972","Cx3cl1"
"973","Csf2rb2"
"974","Tgfbi"
"975","Notch1"
"976","Zc3h12c"
"977","Ppa1"
"978","Gm15229"
"979","Cox20"
"980","Slc11a2"
"981","Dgkh"
"982","Slfn9"
"983","Psmb10"
"984","Clcn7"
"985","Slc39a14"
"986","Sdc4"
"987","Acpp"
"988","Slfn5os"
"989","Zfp558"
"990","Slc7a15"
"991","Sema4c"
"992","Pvr"
"993","Myd88"
"994","Elovl2"
"995","Map3k8"
"996","Enah"
"997","Parp3"
"998","Ly6c1"
"999","Sertad1"
"1000","Mgat4a"
"1001","Slc4a11"
"1002","Clec4a1"
"1003","Tra2a"
"1004","Psme2"
"1005","Trem3"
"1006","Sh3bp4"
"1007","Sbds"
"1008","Arl5c"
"1009","Ube2l6"
"1010","Wdr20rt"
"1011","Gm11425"
"1012","Pml"
"1013","Slco1a6"
"1014","Lrrk2"
"1015","Trim14"
"1016","Tapbpl"
"1017","Kdm6bos"
"1018","Tor1aip2"
"1019","Slc16a9"
"1020","Slc25a37"
"1021","Ctsc"
"1022","Arid5b"
"1023","Txk"
"1024","Tap2"
"1025","Rrbp1"
"1026","Nampt"
"1027","Ptch1"
"1028","Zfp800"
"1029","Gm11127"
"1030","Ccr9"
"1031","Rgl1"
"1032","Ccdc96"
"1033","Aim2"
"1034","Coq10b"
"1035","Scml4"
"1036","Rhbdf2"
"1037","C4b"
"1038","Ppbp"
"1039","Gm11706"
"1040","Epb41l3"
"1041","Ccdc86"
"1042","Sag"
"1043","Bfar"
"1044","Tppp3"
"1045","Mir221"
"1046","Eng"
"1047","Pecam1"
"1048","Slc22a4"
"1049","Marchf5"
"1050","Arel1"
"1051","Map10"
"1052","Gm13772"
"1053","Sel1l3"
"1054","Shf"
"1055","Tax1bp1"
"1056","Errfi1"
"1057","Mapkbp1"
"1058","Fyco1"
"1059","Pttg1"
"1060","Pnpt1"
"1061","Tpst1"
"1062","Aftph"
"1063","Frmd4a"
"1064","Ppef2"
"1065","Gm10108"
"1066","Cyp26c1"
"1067","Pdlim7"
"1068","Pde1b"
"1069","Adap2"
"1070","Slfn10-ps"
"1071","Rhoc"
"1072","AC160336.1"
"1073","Naip2"
"1074","Nlrp3"
"1075","Eid3"
"1076","Bcar1"
"1077","AC113595.1"
"1078","Naip1"
"1079","Pde5a"
"1080","Gm11427"
"1081","Ly6c2"
"1082","Prdm1"
"1083","Rabgef1"
"1084","Cept1"
"1085","Bicdl2"
"1086","Cycs"
"1087","Trim25"
"1088","Cybb"
"1089","Gm10734"
"1090","Vps54"
"1091","Adamtsl4"
"1092","Smim3"
"1093","Dtx2"
"1094","Amer2"
"1095","Ms4a14"
"1096","Prkx"
"1097","Kcnh7"
"1098","Dusp4"
"1099","Nr4a2"
"1100","Zfp821"
"1101","Il2rg"
"1102","Rps7-ps2"
"1103","Cd44"
"1104","Gm12112"
"1105","Usp25"
"1106","Clec4n"
"1107","Psme2b"
"1108","Vmn2r-ps104"
"1109","Mip"
"1110","Scarf1"
"1111","Smad7"
"1112","Psmd10"
"1113","Prnp"
"1114","Cmklr1"
"1115","Etnk1"
"1116","Akap3"
"1117","Riok3"
"1118","Sbno2"
"1119","Aoah"
"1120","Odc1"
"1121","Nfkbib"
"1122","Rap2c"
"1123","Daam1"
"1124","Prg4"
"1125","Ascc3"
"1126","Ms4a1"
"1127","Ogfr"
"1128","Tmem132a"
"1129","B4galt5"
"1130","Gm10791"
"1131","Serpinb9"
"1132","Lcp2"
"1133","Zfp719"
"1134","Treml2"
"1135","Egln3"
"1136","Rnf114"
"1137","Mir24-1"
"1138","Ubr4"
"1139","Zfp691"
"1140","Tlr1"
"1141","Inpp5b"
"1142","Chd7"
"1143","Gm13498"
"1144","Armcx6"
"1145","Arrdc4"
"1146","Sqstm1"
"1147","Chmp4b"
"1148","Dnaja1"
"1149","Tet2"
"1150","Pik3ap1"
"1151","Arhgef12"
"1152","Nfil3"
"1153","Cd47"
"1154","Sco1"
"1155","Cst7"
"1156","Casp7"
"1157","Tent5a"
"1158","Akap6"
"1159","Adar"
"1160","Evl"
"1161","Vasp"
"1162","Cyyr1"
"1163","Tspo"
"1164","Mir6953"
"1165","Riox2"
"1166","Klf7"
"1167","Plek"
"1168","M6pr-ps"
"1169","Cdyl2"
"1170","Dram1"
"1171","Stat3"
"1172","Mcub"
"1173","Dennd6b"
"1174","Nlrc4"
"1175","Psmb9"
"1176","Gm12834"
"1177","Rbbp8"
"1178","Rnf34"
"1179","Akt3"
"1180","Ms4a6b"
"1181","Ppfibp2"
"1182","Cdkl5"
"1183","Ext1"
"1184","Pirb"
"1185","Ankrd37"
"1186","Etv6"
"1187","Eif2ak2"
"1188","Xdh"
"1189","Rslcan18"
"1190","Itpkb"
"1191","Ttc39c"
"1192","Rin2"
"1193","Rab30"
"1194","Bco2"
"1195","Rhpn2"
"1196","Lrch1"
"1197","Ccr5"
"1198","Gab1"
"1199","Psmb8"
"1200","Tnfaip2"
"1201","Map2k1"
"1202","Gm11131"
"1203","Lgals3bp"
"1204","Snw1"
"1205","BC051226"
"1206","Gk"
"1207","Mrpl52"
"1208","Spef2"
"1209","Ppp1r15a"
"1210","Gm10053"
"1211","Cenpj"
"1212","Nfkb1"
"1213","Rai14"
"1214","Lipn"
"1215","Dnah7b"
"1216","Mirt2"
"1217","Tdrd7"
"1218","Casp8"
"1219","Stk40"
"1220","Gm12854"
"1221","Gabrr3"
"1222","Rgs1"
"1223","Gipc3"
"1224","Clec4d"
"1225","Irf2"
"1226","Mid1-ps1"
"1227","Dcbld2"
"1228","Crem"
"1229","Gm12328"
"1230","Nrp2"
"1231","Ankrd50"
"1232","Ap3m2"
"1233","Plk3"
"1234","Lmo4"
"1235","Plagl2"
"1236","Pcgf5"
"1237","Parp8"
"1238","Nfkbie"
"1239","Tent4a"
"1240","Runx2os1"
"1241","Aida"
"1242","Cyth1"
"1243","Epha4"
"1244","Tank"
"1245","Ppp4r2"
"1246","Creb3l1"
"1247","Slc45a3"
"1248","Arhgef28"
"1249","Stxbp3"
"1250","Sertad3"
"1251","Cpeb4"
"1252","Ermap"
"1253","Lilrb4a"
"1254","Ubc"
"1255","Plekhn1"
"1256","Fth1"
"1257","Slc3a2"
"1258","Birc2"
"1259","Gm14537"
"1260","Dnaja2"
"1261","Psma6"
"1262","Stk38l"
"1263","Tmem171"
"1264","Palld"
"1265","Tor1aip1"
"1266","Kcnip1"
"1267","Rab9b-ps1"
"1268","Trim56"
"1269","Usp12"
"1270","Fndc7"
"1271","Slc31a1"
"1272","Sik1"
"1273","Dync1i2"
"1274","Dhx58os"
"1275","Rgs9"
"1276","Relb"
"1277","Lyrm1"
"1278","Jarid2"
"1279","Ppp1r15b"
"1280","Cbwd1"
"1281","Ly6m"
"1282","Sema4a"
"1283","Tut7"
"1284","Gm10425"
"1285","Rab5a-ps"
"1286","Polb"
"1287","Tmco3"
"1288","Sppl2a"
"1289","Ficd"
"1290","Asb13"
"1291","Samd15"
"1292","Dmxl2"
"1293","Pdgfa"
"1294","Serp1"
"1295","B3gnt2"
"1296","Rtn2"
"1297","Taf7"
"1298","BE692007"
"1299","Smg7"
"1300","Rap2b"
"1301","Nkiras1"
"1302","Osbp2"
"1303","Rnf144a"
"1304","Ube2f"
"1305","Chordc1"
"1306","F8"
"1307","Susd6"
"1308","Nfxl1"
"1309","Sspn"
"1310","Cep350"
"1311","Ezr"
"1312","Bvht"
"1313","Mafk"
"1314","Creb5"
"1315","Vcpip1"
"1316","Xkr8"
"1317","Gm13767"
"1318","Ist1"
"1319","Lrrc25"
"1320","Bnip3"
"1321","Spata5l1"
"1322","mt-Rnr2"
"1323","Zcchc2"
"1324","Tnip2"
"1325","Lipc"
"1326","Chst1"
"1327","Fam53c"
"1328","Lamc2"
"1329","Ebi3"
"1330","Apool"
"1331","Spryd7"
"1332","Rn7s6"
"1333","Tmem184b"
"1334","Plekha2"
"1335","Pgs1"
"1336","Irf8"
"1337","Mvp"
"1338","B2m"
"1339","Slc2a6"
"1340","Trim12a"
"1341","Traf2"
"1342","Rn7s2"
"1343","Ankle2"
"1344","Rnf31"
"1345","Gm11626"
"1346","Vdac3-ps1"
"1347","Trmt1l"
"1348","Orai2"
"1349","Dcun1d3"
"1350","Ptgir"
"1351","Lgals8"
"1352","St7"
"1353","Pgap2"
"1354","Cdkl4"
"1355","Frmd5"
"1356","Pxdc1"
"1357","Apobec3"
"1358","Cd164"
"1359","Adgrl2"
